lat,lng,sat,vel,alt,day,mth,hor,min,alx,aly,hdn,tmp,hum,vwind,rwd,sailPos,bat,panel,time
-12.133968,-76.979866,6,0.22,147.60,7,8,21,8,5.72,4.25,27.33,25.3,70.8,,,209.0,11.89,0.09,0.2584519386291504
-12.133968,-76.979866,6,0.22,147.60,7,8,21,8,5.84,4.18,26.70,25.3,70.8,,,170.0,11.92,0.07,0.4728214740753174
-12.133960,-76.979873,6,0.33,147.60,7,8,21,8,5.69,4.04,25.34,25.3,70.7,,,211.0,12.07,0.07,3.252110481262207
-12.133960,-76.979873,6,0.33,147.60,7,8,21,8,5.72,3.86,26.52,25.3,70.7,,,170.0,11.98,0.09,3.4808263778686523
-12.133957,-76.979873,6,0.15,147.60,7,8,21,8,5.53,4.27,26.18,25.3,70.7,,,212.0,12.02,0.07,5.241579055786133
-12.133957,-76.979873,6,0.15,147.60,7,8,21,8,5.48,4.31,26.46,25.3,70.7,,,170.0,11.99,0.09,5.4706151485443115
-12.133955,-76.979873,6,0.67,147.60,7,8,21,9,5.65,3.94,27.79,25.4,70.7,,,212.0,11.98,0.09,8.240605115890503
-12.133955,-76.979873,6,0.67,147.60,7,8,21,9,5.85,4.40,25.83,25.4,70.7,,,169.0,12.07,0.09,8.47379446029663
-12.133954,-76.979881,6,0.31,147.60,7,8,21,9,5.95,4.13,26.81,25.4,70.7,,,210.0,11.96,0.07,10.24160099029541
-12.133954,-76.979881,6,0.31,147.60,7,8,21,9,5.69,3.83,26.26,25.4,70.7,,,171.0,12.04,0.09,10.4762282371521
-12.133951,-76.979881,6,0.26,147.60,7,8,21,9,5.55,4.25,26.78,25.4,70.7,,,211.0,12.01,0.06,13.251489639282227
-12.133951,-76.979881,6,0.26,147.60,7,8,21,9,5.80,4.06,26.38,25.4,70.6,,,167.0,12.05,0.09,13.471970081329346
-12.133948,-76.979881,6,0.19,147.60,7,8,21,9,6.00,3.87,27.57,25.4,70.6,,,209.0,12.07,0.06,15.240114212036133
-12.133948,-76.979881,6,0.19,147.60,7,8,21,9,5.65,3.97,27.33,25.4,70.6,,,168.0,11.99,0.07,15.468942403793335
-12.133949,-76.979881,6,0.78,147.60,7,8,21,9,5.80,4.18,25.80,25.4,70.5,,,208.0,12.05,0.09,17.236937046051025
-12.133949,-76.979881,6,0.78,147.60,7,8,21,9,5.66,4.27,27.02,25.4,70.5,,,168.0,11.89,0.09,17.463231325149536
-12.133947,-76.979881,6,0.06,147.60,7,8,21,9,5.74,4.00,25.72,25.5,70.5,,,210.0,12.05,0.06,19.23393988609314
-12.133947,-76.979881,6,0.06,147.60,7,8,21,9,5.71,3.93,26.58,25.5,70.5,,,167.0,12.05,0.09,19.461477994918823
-12.133946,-76.979881,6,0.04,147.60,7,8,21,9,5.64,4.29,25.62,25.5,70.5,,,211.0,11.96,0.10,20.139363288879395
-12.133946,-76.979881,6,0.04,147.60,7,8,21,9,5.77,4.14,24.88,25.5,70.5,,,166.0,11.92,0.10,20.402989625930786
-12.133944,-76.979888,6,0.07,147.60,7,8,21,9,5.58,3.69,25.57,25.5,70.4,,,209.0,11.94,0.09,21.267213582992554
-12.133944,-76.979888,6,0.07,147.60,7,8,21,9,7.12,3.89,25.52,25.5,70.4,,,170.0,11.89,0.07,21.47860288619995
-12.133944,-76.979888,6,0.02,147.60,7,8,21,9,5.88,4.10,26.49,25.5,70.4,,,209.0,12.07,0.13,23.239143133163452
-12.133944,-76.979888,6,0.02,147.60,7,8,21,9,5.44,4.22,26.60,25.5,70.4,,,169.0,12.05,0.09,23.47199010848999
-12.133944,-76.979888,6,0.02,147.60,7,8,21,9,5.99,4.23,25.86,25.5,70.4,,,212.0,11.95,0.12,24.284647464752197
-12.133944,-76.979888,6,0.06,147.60,7,8,21,9,5.57,3.93,27.83,25.5,70.4,,,213.0,12.07,0.07,25.23806881904602
-12.133944,-76.979888,6,0.06,147.60,7,8,21,9,5.60,3.95,25.08,25.5,70.3,,,168.0,12.07,0.09,25.467843294143677
-12.133942,-76.979888,6,0.07,147.60,7,8,21,9,5.25,3.82,25.84,25.5,70.3,,,209.0,11.95,0.09,27.234894275665283
-12.133942,-76.979888,6,0.07,147.60,7,8,21,9,5.25,3.89,25.75,25.5,70.3,,,168.0,11.99,0.10,27.462451457977295
-12.133942,-76.979888,6,0.07,147.60,7,8,21,9,5.56,3.88,26.83,25.5,70.3,,,208.0,11.96,0.07,28.279401540756226
-12.133939,-76.979896,6,0.17,147.60,7,8,21,9,5.68,4.37,25.89,25.5,70.2,,,210.0,12.07,0.09,29.234008073806763
-12.133939,-76.979896,6,0.17,147.60,7,8,21,9,5.96,4.30,25.30,25.5,70.2,,,169.0,12.05,0.09,29.450702905654907
-12.133939,-76.979896,6,0.17,147.60,7,8,21,9,5.54,3.70,25.94,25.5,70.2,,,212.0,11.98,0.10,30.27780842781067
-12.133935,-76.979896,6,0.02,147.60,7,8,21,9,5.83,4.07,26.38,25.5,70.2,,,209.0,12.04,0.13,31.233362913131714
