lat,lng,sat,vel,alt,day,mth,hor,min,alx,aly,hdn,tmp,hum,vwind,rwd,sailPos,bat,panel,time
-12.133914,-76.979949,5,0.09,9.00,7,8,21,10,5.66,4.11,26.12,25.6,69.7,,,167.0,12.04,0.07,0.04659700393676758
-12.133917,-76.979949,5,0.06,9.00,7,8,21,10,5.77,3.93,25.59,25.6,69.7,?,15,207.0,11.98,0.12,1.8179676532745361
-12.133917,-76.979949,5,0.06,9.00,7,8,21,10,5.83,4.06,25.65,25.6,69.7,?,17,167.0,12.01,0.06,2.0466058254241943
-12.133921,-76.979949,5,0.46,9.00,7,8,21,10,5.36,4.43,25.68,25.6,69.7,?,25,211.0,12.05,0.06,2.7250750064849854
-12.133921,-76.979949,5,0.46,9.00,7,8,21,10,5.45,4.22,25.48,25.6,69.7,?,29,155.0,11.98,0.07,3.0099291801452637
-12.133927,-76.979942,5,0.06,9.00,7,8,21,10,5.77,4.00,25.32,25.6,69.7,?,41,209.0,12.05,0.07,3.826266288757324
-12.133927,-76.979942,5,0.06,9.00,7,8,21,10,5.58,4.04,26.73,25.6,69.7,?,44,168.0,12.04,0.07,4.110458612442017
-12.133937,-76.979934,5,0.61,9.00,7,8,21,10,5.85,3.87,26.95,25.6,69.7,?,82,209.0,12.01,0.10,5.822566747665405
-12.133937,-76.979934,5,0.61,9.00,7,8,21,10,5.65,4.09,26.79,25.6,69.7,?,86,169.0,12.04,0.06,6.049192667007446
-12.133937,-76.979934,5,0.61,9.00,7,8,21,10,5.64,4.04,26.52,25.6,69.7,?,97,210.0,11.92,0.10,6.873713254928589
-12.133947,-76.979927,5,0.13,9.00,7,8,21,10,7.19,3.02,25.06,25.6,69.7,?,101,210.0,11.89,0.10,7.826073884963989
-12.133947,-76.979927,5,0.13,9.00,7,8,21,10,5.20,4.15,26.90,25.6,69.7,?,101,167.0,11.98,0.06,8.090202331542969
-12.133961,-76.979927,5,1.67,9.00,7,8,21,10,5.68,4.19,26.47,25.6,69.7,?,101,209.0,12.07,0.07,9.812673807144165
-12.133961,-76.979927,5,1.67,9.00,7,8,21,10,5.57,3.98,27.28,25.6,69.7,?,101,167.0,11.94,0.09,10.043950080871582
-12.133965,-76.979919,5,0.67,9.00,7,8,21,10,5.91,4.01,25.92,25.6,69.7,?,100,210.0,12.07,0.07,10.720397710800171
-12.133965,-76.979919,5,0.67,9.00,7,8,21,10,5.72,4.15,26.98,25.6,69.7,?,100,149.0,12.07,0.07,10.981623888015747
-12.133976,-76.979911,5,0.28,9.00,7,8,21,10,5.69,4.17,25.45,25.6,69.7,?,89,210.0,12.07,0.12,11.816219806671143
-12.133976,-76.979911,5,0.28,9.00,7,8,21,10,5.67,4.28,25.29,25.6,69.7,?,84,167.0,12.07,0.09,12.046290397644043
-12.133984,-76.979911,5,0.31,9.00,7,8,21,10,5.80,3.97,25.57,25.6,69.7,?,43,212.0,11.96,0.07,12.7232027053833
-12.133984,-76.979911,5,0.31,9.00,7,8,21,10,5.62,4.21,26.35,25.6,69.7,?,17,153.0,12.07,0.12,12.984707117080688
-12.133985,-76.979911,5,0.06,9.00,7,8,21,10,5.62,4.03,26.58,25.6,69.7,?,-119,211.0,11.96,0.07,13.823980331420898
-12.133985,-76.979911,5,0.06,9.00,7,8,21,10,5.66,3.94,25.36,25.6,69.7,?,-115,168.0,11.95,0.07,14.055836915969849
-12.133993,-76.979904,5,0.24,9.00,7,8,21,10,5.68,4.40,25.65,25.6,69.7,?,-79,212.0,11.98,0.09,15.818833827972412
