lat,lng,sat,vel,alt,day,mth,hor,min,alx,aly,hdn,tmp,hum,vwind,rwd,sailPos,bat,panel,time
-12.133875,-76.979759,9,0.07,138.90,5,8,21,17,4.80,2.71,194.86,26.1,72.4,"
2",?,108.0,12.04,0.12,0.5177032947540283
-12.133874,-76.979759,9,0.07,139.00,5,8,21,17,4.22,2.75,194.05,26.1,72.4,"
-19",?,107.0,12.02,0.10,1.7910292148590088
-12.133874,-76.979759,9,0.04,139.00,5,8,21,17,4.16,2.63,194.70,26.1,72.4,"
120",?,108.0,11.96,0.12,2.8608243465423584
-12.133874,-76.979759,9,0.04,139.00,5,8,21,17,4.21,2.37,199.28,26.1,72.4,"
112",?,107.0,12.04,0.10,2.99520206451416
-12.133874,-76.979759,9,0.04,139.00,5,8,21,17,4.70,2.51,197.58,26.1,72.4,"
110",?,107.0,12.05,0.10,3.0625
-12.133874,-76.979759,9,0.00,139.00,5,8,21,17,4.31,2.44,198.36,26.1,72.4,"
93",?,107.0,12.04,0.12,3.5588624477386475
-12.133874,-76.979759,9,0.00,138.90,5,8,21,17,4.39,3.00,199.31,26.1,72.3,"
66",?,107.0,12.05,0.12,4.741302013397217
-12.133873,-76.979759,9,0.04,138.90,5,8,21,17,4.73,2.61,191.07,26.1,72.3,"
78",?,106.0,12.02,0.07,5.228419303894043
-12.133873,-76.979759,9,0.04,138.90,5,8,21,17,4.70,2.79,195.13,26.1,72.3,"
80",?,107.0,12.04,0.10,5.314070463180542
-12.133873,-76.979759,9,0.04,138.90,5,8,21,17,4.34,2.32,197.77,26.1,72.3,"
84",?,107.0,12.01,0.10,5.528509855270386
