lat,lng,sat,vel,alt,day,mth,hor,min,alx,aly,hdn,tmp,hum,vwind,rwd,sailPos,bat,panel,time
-12.134001,-76.979927,10,0.06,151.40,7,8,22,3,5.52,4.08,28.17,25.9,68.7,,,206.0,11.76,0.07,0.8966002464294434
-12.133999,-76.979927,10,0.02,151.40,7,8,22,3,5.49,4.40,27.97,25.9,68.7,?,-74,205.0,11.69,0.12,1.756659746170044
-12.133999,-76.979927,10,0.02,151.40,7,8,22,3,5.63,4.17,28.07,25.9,68.7,?,-72,206.0,11.66,0.06,2.0526468753814697
-12.133996,-76.979927,10,0.02,151.40,7,8,22,3,5.86,4.29,27.29,25.9,68.7,?,-65,206.0,11.67,0.09,2.8228020668029785
-12.133996,-76.979927,10,0.02,150.80,7,8,22,3,5.71,4.38,27.13,25.9,68.7,?,-54,207.0,11.74,0.09,3.894165277481079
-12.133994,-76.979927,10,0.15,150.80,7,8,22,3,5.98,4.59,28.84,25.9,68.7,?,-37,206.0,11.63,0.09,4.702044725418091
-12.133994,-76.979927,10,0.15,150.80,7,8,22,3,5.60,2.78,28.64,25.9,68.7,?,-31,211.0,11.69,0.07,4.986492872238159
-12.133991,-76.979927,10,0.00,150.80,7,8,22,3,5.58,4.24,29.19,25.8,68.7,?,-24,207.0,11.64,0.12,5.923593997955322
-12.133989,-76.979927,9,0.00,150.20,7,8,22,3,5.46,4.08,27.84,25.8,68.8,?,-27,209.0,11.64,0.06,7.578972101211548
-12.133986,-76.979927,9,0.11,150.20,7,8,22,3,6.14,4.31,27.37,25.8,68.8,?,-27,207.0,11.52,0.07,7.711217164993286
-12.133986,-76.979927,9,0.11,150.20,7,8,22,3,6.66,3.66,27.47,25.8,68.8,?,-27,207.0,11.67,0.09,7.982417583465576
-12.133986,-76.979927,9,0.11,150.20,7,8,22,3,6.17,4.53,29.52,25.8,68.8,?,-27,162.0,11.63,0.07,8.196093320846558
-12.133984,-76.979919,9,0.02,150.20,7,8,22,3,5.34,3.93,27.32,25.8,68.8,?,-27,206.0,11.74,0.09,8.826106548309326
-12.133983,-76.979919,10,0.02,149.70,7,8,22,3,5.31,4.66,26.46,25.8,68.8,?,-28,205.0,11.72,0.09,9.901689052581787
-12.133981,-76.979919,10,0.07,149.70,7,8,22,3,5.74,4.26,27.92,25.9,68.8,?,-28,206.0,11.70,0.06,10.702594995498657
-12.133981,-76.979919,10,0.07,149.70,7,8,22,3,5.62,4.12,27.18,25.9,68.8,?,-29,206.0,11.77,0.07,11.178402423858643
-12.133981,-76.979919,10,0.07,149.70,7,8,22,3,5.74,4.11,27.01,25.9,68.8,?,-30,163.0,11.66,0.04,11.369492530822754
-12.133979,-76.979919,10,0.13,149.70,7,8,22,3,5.64,3.96,26.20,25.9,68.8,?,-32,211.0,11.73,0.09,11.838670492172241
-12.133976,-76.979919,10,0.13,149.70,7,8,22,3,5.57,3.78,29.54,25.9,68.8,?,-38,206.0,11.80,0.09,13.75857162475586
-12.133976,-76.979919,10,0.13,149.70,7,8,22,3,5.52,4.26,30.73,25.8,68.8,?,-38,205.0,11.67,0.09,13.978378772735596
-12.133975,-76.979919,10,0.07,149.70,7,8,22,3,5.49,3.95,30.46,25.9,68.9,?,-39,204.0,11.66,0.07,14.819002389907837
-12.133975,-76.979919,10,0.07,149.70,7,8,22,3,5.54,4.06,28.06,25.9,68.9,?,-40,162.0,11.66,0.07,15.259004831314087
-12.133974,-76.979919,10,0.07,148.60,7,8,22,3,5.20,4.37,27.98,25.9,68.9,?,-42,205.0,11.66,0.09,15.895040035247803
-12.133972,-76.979919,10,0.11,148.60,7,8,22,3,5.98,4.15,27.61,25.9,68.9,?,-45,210.0,11.76,0.07,16.700372219085693
-12.133972,-76.979919,10,0.11,148.60,7,8,22,3,6.09,4.35,29.63,25.9,68.9,?,-46,206.0,11.64,0.12,16.992043256759644
-12.133970,-76.979919,10,0.04,148.60,7,8,22,3,5.49,4.49,29.31,25.8,68.9,?,-27,206.0,11.74,0.10,17.828304767608643
-12.133968,-76.979919,10,0.04,148.10,7,8,22,3,5.52,4.00,28.11,25.8,68.9,?,-83,206.0,11.66,0.06,18.890806198120117
-12.133967,-76.979919,10,0.06,148.10,7,8,22,3,5.74,4.01,26.69,25.9,68.9,?,-118,208.0,11.61,0.09,19.698808193206787
-12.133967,-76.979919,10,0.06,148.10,7,8,22,3,5.57,4.49,29.66,25.9,68.9,?,-113,207.0,11.66,0.07,19.98708176612854
-12.133966,-76.979919,10,0.04,148.10,7,8,22,3,5.20,4.49,28.09,25.8,68.9,?,-71,207.0,11.67,0.09,20.837862014770508
-12.133964,-76.979919,10,0.04,147.60,7,8,22,3,5.27,4.21,27.15,25.8,68.9,?,-65,204.0,11.66,0.09,21.90485692024231
-12.133963,-76.979919,10,0.02,147.60,7,8,22,3,5.38,4.03,26.61,25.9,68.9,?,-97,205.0,11.72,0.06,22.691925048828125
-12.133963,-76.979919,10,0.02,147.60,7,8,22,3,5.30,3.64,26.46,25.8,68.9,?,-82,206.0,11.61,0.09,22.98233413696289
-12.133963,-76.979919,10,0.33,147.60,7,8,22,3,5.76,4.59,27.98,25.9,68.9,?,-58,206.0,11.64,0.10,23.825560569763184
-12.133961,-76.979919,10,0.33,147.20,7,8,22,3,5.99,4.59,26.35,25.9,68.9,?,-110,207.0,11.67,0.09,24.89109778404236
-12.133961,-76.979919,10,0.11,147.20,7,8,22,3,5.52,3.78,27.02,25.9,68.9,?,-93,206.0,11.76,0.06,25.68836760520935
-12.133961,-76.979919,10,0.11,147.20,7,8,22,3,4.32,3.80,26.93,25.9,68.9,?,-82,206.0,11.63,0.06,25.985267162322998
-12.133960,-76.979919,10,0.15,147.20,7,8,22,3,5.85,4.52,29.04,25.9,68.9,?,-82,205.0,11.79,0.10,26.818913221359253
-12.133960,-76.979919,10,0.15,147.20,7,8,22,3,5.68,4.35,28.19,25.9,68.9,?,-89,165.0,11.85,0.09,27.03523302078247
-12.133959,-76.979919,10,0.15,146.80,7,8,22,3,6.13,4.32,26.35,25.9,68.9,?,-116,207.0,11.76,0.06,27.891336917877197
-12.133958,-76.979919,10,0.17,146.80,7,8,22,3,5.47,4.31,27.66,25.9,68.9,?,-110,205.0,11.67,0.07,28.696089029312134
-12.133958,-76.979919,10,0.17,146.80,7,8,22,3,6.17,4.60,27.90,25.9,68.9,?,-105,207.0,11.66,0.07,28.985193252563477
-12.133957,-76.979919,10,0.17,146.80,7,8,22,3,5.05,3.74,28.68,25.9,68.9,?,-109,205.0,11.69,0.12,29.820271968841553
-12.133957,-76.979919,10,0.17,146.40,7,8,22,3,5.60,4.52,26.01,25.9,68.9,?,-105,206.0,11.67,0.09,30.892325401306152
-12.133957,-76.979919,10,0.15,146.40,7,8,22,3,5.49,4.52,28.27,25.9,68.9,?,-95,205.0,11.73,0.09,31.69843578338623
-12.133957,-76.979919,10,0.15,146.40,7,8,22,3,5.49,4.32,28.03,25.9,68.9,?,-93,206.0,11.69,0.09,32.00567150115967
-12.133956,-76.979919,10,0.04,146.40,7,8,22,3,5.87,4.38,28.60,25.9,68.9,?,-96,207.0,11.64,0.07,32.82335186004639
-12.133955,-76.979919,10,0.04,146.00,7,8,22,3,5.46,3.94,28.66,25.9,68.9,?,-102,210.0,11.66,0.09,33.8932318687439
-12.133955,-76.979919,10,0.04,146.00,7,8,22,3,5.57,3.70,27.39,25.9,68.9,?,-82,208.0,11.67,0.10,34.69883060455322
-12.133955,-76.979919,10,0.04,146.00,7,8,22,3,5.60,4.25,29.11,25.9,68.9,?,-75,206.0,11.61,0.06,34.98886156082153
-12.133954,-76.979919,10,0.07,146.00,7,8,22,3,6.12,4.03,27.96,25.9,68.9,?,-85,206.0,11.66,0.09,35.84660530090332
-12.133953,-76.979919,10,0.07,145.60,7,8,22,3,5.23,4.50,28.21,25.9,68.8,?,-95,206.0,11.64,0.09,37.32703137397766
-12.133952,-76.979919,10,0.09,145.60,7,8,22,3,5.51,4.39,28.18,25.9,68.8,?,-80,209.0,11.63,0.09,37.70147490501404
-12.133952,-76.979919,10,0.09,145.60,7,8,22,3,5.87,4.32,27.52,25.9,68.8,?,-78,208.0,11.61,0.09,37.978556871414185
-12.133951,-76.979919,10,0.11,145.60,7,8,22,3,6.03,4.44,26.50,25.9,68.8,?,-71,208.0,11.63,0.09,39.05148005485535
-12.133950,-76.979919,10,0.11,145.20,7,8,22,3,5.88,3.96,27.98,25.9,68.8,?,-102,206.0,11.72,0.06,39.89735651016235
-12.133949,-76.979919,10,0.02,145.20,7,8,22,3,4.55,4.55,28.56,25.9,68.8,?,-120,204.0,11.61,0.09,40.810407638549805
-12.133949,-76.979919,10,0.02,145.20,7,8,22,3,5.72,4.07,28.38,25.9,68.8,?,-117,209.0,11.52,0.06,40.97994112968445
-12.133948,-76.979919,10,0.11,145.20,7,8,22,3,5.83,4.05,27.18,25.9,68.8,?,-88,205.0,11.69,0.07,41.869221687316895
-12.133947,-76.979911,10,0.11,144.80,7,8,22,3,5.43,4.02,27.10,25.9,68.9,?,-16,204.0,11.64,0.12,42.89076805114746
-12.133946,-76.979911,10,0.13,144.80,7,8,22,3,5.51,4.02,28.73,25.9,68.9,?,18,204.0,11.67,0.12,43.6974720954895
-12.133946,-76.979911,10,0.13,144.80,7,8,22,3,5.41,4.24,28.23,25.9,68.9,?,28,205.0,11.74,0.07,43.97431993484497
-12.133945,-76.979911,10,0.02,144.80,7,8,22,3,5.25,4.44,29.83,25.8,68.9,?,65,207.0,11.64,0.07,45.02387237548828
-12.133944,-76.979911,10,0.02,144.50,7,8,22,3,5.26,3.98,28.93,25.8,68.9,?,89,203.0,11.72,0.10,45.89768695831299
-12.133943,-76.979911,10,0.07,144.50,7,8,22,3,5.38,4.19,28.15,25.8,68.9,?,90,205.0,11.76,0.07,46.717814922332764
-12.133943,-76.979911,10,0.07,144.50,7,8,22,3,5.93,4.46,29.28,25.8,68.9,?,86,207.0,11.63,0.12,46.97437882423401
-12.133943,-76.979911,10,0.07,144.50,7,8,22,3,5.71,4.52,28.21,25.8,68.9,?,56,205.0,11.67,0.07,48.022433280944824
-12.133942,-76.979911,10,0.07,144.30,7,8,22,3,5.21,4.65,27.32,25.8,68.9,?,59,207.0,11.70,0.09,48.89449381828308
-12.133941,-76.979911,10,0.04,144.30,7,8,22,3,5.76,4.19,27.39,25.8,68.9,?,54,206.0,11.73,0.06,49.958423137664795
-12.133941,-76.979911,10,0.04,144.30,7,8,22,3,5.34,4.34,27.10,25.8,68.9,?,50,206.0,11.51,0.09,50.346277713775635
-12.133941,-76.979911,10,0.04,144.30,7,8,22,3,6.19,4.23,28.20,25.8,68.9,?,50,162.0,11.52,0.07,50.374932289123535
-12.133940,-76.979911,10,0.07,144.30,7,8,22,3,5.41,4.32,26.31,25.8,68.9,?,50,208.0,11.61,0.06,50.958460092544556
-12.133940,-76.979911,10,0.07,144.00,7,8,22,3,5.94,3.80,27.81,25.8,69.0,?,55,207.0,11.73,0.07,52.27610802650452
-12.133936,-76.979911,10,0.06,144.00,7,8,22,3,5.89,4.37,27.82,25.7,69.0,?,68,211.0,11.66,0.12,52.95525050163269
-12.133936,-76.979911,10,0.06,144.00,7,8,22,3,5.69,4.38,27.13,25.7,69.0,?,70,206.0,11.52,0.06,52.983189821243286
-12.133934,-76.979911,10,0.00,144.00,7,8,22,3,5.46,4.19,26.61,25.7,69.0,?,71,210.0,11.63,0.09,53.82694363594055
