lat,lng,sat,vel,alt,day,mth,hor,min,alx,aly,hdn,tmp,hum,vwind,rwd,sailPos,bat,panel,time
-12.133884,-76.979751,9,0.09,132.20,5,8,21,30,4.35,2.88,200.44,29.1,64.1,-170,?,108.0,11.95,0.12,1.7036478519439697
-12.133884,-76.979751,9,0.09,132.20,5,8,21,30,4.13,2.89,197.70,29.1,64.1,100,?,107.0,11.96,0.07,3.2586936950683594
-12.133884,-76.979751,9,0.09,132.20,5,8,21,30,4.17,2.77,197.01,29.1,64.1,137,?,107.0,12.01,0.09,4.100926876068115
-12.133883,-76.979751,9,0.06,132.20,5,8,21,30,4.07,2.37,197.10,29.1,64.1,152,?,107.0,11.99,0.09,4.7131736278533936
-12.133883,-76.979751,9,0.00,132.20,5,8,21,30,4.16,2.67,197.26,29.1,64.1,153,?,107.0,12.02,0.12,6.057743787765503
-12.133883,-76.979751,9,0.00,132.20,5,8,21,30,4.10,2.35,199.11,29.1,64.1,138,?,107.0,12.01,0.09,7.989578485488892
-12.133883,-76.979751,8,0.00,131.80,5,8,21,30,3.80,2.73,200.01,29.1,64.1,69,?,107.0,12.02,0.10,9.250316381454468
-12.133883,-76.979751,8,0.00,131.80,5,8,21,30,4.06,2.68,196.91,29.1,64.1,74,?,107.0,12.01,0.10,9.544637680053711
-12.133883,-76.979751,8,0.00,131.80,5,8,21,30,4.25,2.62,199.40,29.1,64.1,112,?,107.0,12.01,0.09,10.021438837051392
-12.133883,-76.979751,8,0.00,131.80,5,8,21,30,4.32,2.58,202.41,29.1,64.1,112,?,107.0,12.02,0.10,11.774878025054932
-12.133883,-76.979751,8,0.00,131.80,5,8,21,30,4.22,2.58,200.20,29.1,64.1,80,?,107.0,11.99,0.09,12.098738193511963
-12.133883,-76.979751,8,0.00,131.80,5,8,21,30,4.34,2.93,198.92,29.1,64.1,39,?,108.0,12.01,0.09,13.225967407226562
-12.133883,-76.979751,8,0.02,131.80,5,8,21,30,4.17,2.58,198.36,29.1,64.1,55,?,107.0,12.04,0.10,14.30677056312561
-12.133884,-76.979751,8,0.02,131.70,5,8,21,30,4.13,2.58,198.58,29.1,64.1,83,?,107.0,12.02,0.09,15.87045955657959
-12.133884,-76.979751,8,0.02,131.70,5,8,21,30,4.20,2.67,197.49,29.1,64.1,83,?,107.0,11.99,0.07,16.773338556289673
-12.133884,-76.979751,8,0.02,131.70,5,8,21,30,4.18,2.31,197.70,29.1,64.1,85,?,107.0,12.01,0.07,17.683878421783447
-12.133884,-76.979751,8,0.02,131.70,5,8,21,30,4.08,2.84,195.11,29.1,64.1,101,?,107.0,12.01,0.10,18.713573217391968
-12.133885,-76.979743,8,0.04,131.70,5,8,21,30,4.15,2.66,199.45,29.1,64.1,106,?,107.0,12.02,0.12,19.123167991638184
-12.133885,-76.979743,8,0.04,131.70,5,8,21,30,4.21,2.55,197.05,29.1,64.1,105,?,107.0,12.01,0.07,19.621716499328613
-12.133885,-76.979743,8,0.04,131.70,5,8,21,30,4.53,2.66,198.26,29.1,64.1,94,?,107.0,12.01,0.10,20.6449875831604
-12.133885,-76.979743,8,0.00,131.70,5,8,21,30,4.19,2.62,196.08,29.1,64.1,82,?,107.0,11.99,0.10,21.95301079750061
-12.133886,-76.979743,8,0.07,131.70,5,8,21,30,4.13,2.78,196.11,29.1,64.0,61,?,108.0,11.99,0.09,22.73274564743042
-12.133886,-76.979743,8,0.07,131.70,5,8,21,30,4.28,2.82,195.92,29.1,64.0,100,?,107.0,12.01,0.09,23.35002303123474
-12.133886,-76.979743,8,0.07,131.70,5,8,21,30,4.07,2.81,196.62,29.1,64.1,162,?,107.0,12.02,0.09,23.98168683052063
-12.133887,-76.979743,8,0.02,131.70,5,8,21,30,3.95,2.78,198.25,29.1,64.1,177,?,106.0,12.01,0.07,24.598434448242188
-12.133887,-76.979743,8,0.02,131.70,5,8,21,30,4.08,2.64,193.36,29.1,64.0,154,?,107.0,12.02,0.09,24.807585954666138
-12.133887,-76.979743,8,0.02,131.70,5,8,21,30,4.25,2.82,195.82,29.1,64.0,63,?,107.0,12.02,0.07,25.603713274002075
-12.133887,-76.979743,8,0.02,131.70,5,8,21,30,4.16,2.44,200.44,29.1,64.0,50,?,107.0,12.02,0.10,26.334044933319092
-12.133889,-76.979743,8,0.00,131.70,5,8,21,30,4.44,2.41,195.74,29.1,64.0,69,?,107.0,12.02,0.10,27.0159752368927
-12.133889,-76.979743,8,0.06,131.70,5,8,21,30,4.11,2.80,198.15,29.1,64.0,100,?,107.0,11.95,0.09,27.659396409988403
-12.133889,-76.979743,8,0.06,131.70,5,8,21,30,4.14,2.83,196.50,29.1,64.0,116,?,107.0,12.01,0.09,28.58076786994934
-12.133889,-76.979743,8,0.06,131.70,5,8,21,30,4.39,2.52,196.11,29.1,64.0,65,?,107.0,12.02,0.09,30.117902278900146
-12.133890,-76.979743,8,0.04,131.70,5,8,21,30,4.49,2.77,197.53,29.1,64.0,63,?,107.0,11.98,0.12,31.012435913085938
-12.133891,-76.979743,8,0.06,131.70,5,8,21,30,4.15,2.43,194.24,29.1,63.9,63,?,107.0,12.01,0.07,32.633652448654175
-12.133891,-76.979743,8,0.06,131.70,5,8,21,30,4.43,2.58,198.26,29.1,63.9,128,?,108.0,12.01,0.09,33.90566325187683
-12.133891,-76.979743,8,0.06,131.70,5,8,21,30,4.12,2.71,199.02,29.1,63.9,80,?,107.0,12.01,0.10,35.5959415435791
-12.133892,-76.979743,8,0.06,131.70,5,8,21,30,4.08,2.64,201.09,29.1,63.9,91,?,107.0,12.02,0.10,37.4511878490448
-12.133892,-76.979743,9,0.06,132.80,5,8,21,30,4.21,2.77,197.96,29.1,63.9,92,?,107.0,12.01,0.09,38.589911699295044
-12.133892,-76.979743,9,0.06,132.80,5,8,21,30,4.35,2.74,195.92,29.1,63.9,44,?,107.0,12.01,0.12,38.78663659095764
-12.133892,-76.979743,9,0.06,132.80,5,8,21,30,4.34,2.37,195.83,29.1,63.9,56,?,107.0,11.95,0.07,39.103994369506836
-12.133893,-76.979743,9,0.13,132.80,5,8,21,30,4.18,2.73,190.77,29.1,63.9,166,?,107.0,12.02,0.10,39.844850063323975
