lat,lng,sat,vel,alt,day,mth,hor,min,alx,aly,hdn,tmp,hum,vwind,rwd,sailPos,bat,panel,time
-12.134052,-76.979896,8,0.52,147.00,7,8,21,24,5.39,4.06,25.26,26.9,66.3,?,-120,210.0,11.92,0.12,0.4647338390350342
-12.134056,-76.979896,8,0.52,150.70,7,8,21,24,5.77,3.96,24.15,26.9,66.3,?,-120,209.0,11.73,0.07,1.5563023090362549
-12.134056,-76.979896,8,0.52,150.70,7,8,21,24,5.63,4.22,24.84,26.9,66.3,?,-81,167.0,12.01,0.07,2.7216720581054688
-12.134062,-76.979896,8,0.35,150.70,7,8,21,24,5.53,3.88,24.78,26.9,66.3,?,-78,207.0,11.95,0.09,3.4705629348754883
-12.134062,-76.979896,8,0.35,150.70,7,8,21,24,6.14,4.32,23.99,26.9,66.4,?,-96,163.0,12.02,0.10,4.732409715652466
-12.134062,-76.979888,8,2.19,150.70,7,8,21,24,4.66,4.17,25.84,26.9,66.3,?,-113,210.0,11.94,0.07,5.486507177352905
-12.134064,-76.979888,8,0.59,150.70,7,8,21,24,5.64,4.20,25.03,26.9,66.3,?,-115,209.0,12.02,0.06,6.446860313415527
-12.134064,-76.979888,8,0.59,150.70,7,8,21,24,5.06,4.04,25.19,26.9,66.3,?,-112,164.0,11.95,0.09,6.671881198883057
-12.134064,-76.979888,8,0.59,150.70,7,8,21,24,5.21,4.27,25.33,26.9,66.3,?,-92,163.0,11.63,0.07,7.7273268699646
