lat,lng,sat,vel,alt,day,mth,hor,min,alx,aly,hdn,tmp,hum,vwind,rwd,sailPos,bat,panel,time
-12.133946,-76.979896,8,0.61,147.30,7,8,21,16,5.29,4.10,26.71,26.8,66.5,?,-101,211.0,12.02,0.12,0.6693332195281982
-12.133947,-76.979896,8,0.06,147.30,7,8,21,16,5.43,3.67,27.57,26.9,66.4,?,-101,209.0,11.98,0.10,1.4499964714050293
-12.133947,-76.979896,8,0.06,147.30,7,8,21,16,6.00,3.88,26.18,26.8,66.4,?,-101,209.0,11.99,0.07,1.73944091796875
-12.133947,-76.979896,8,0.09,147.30,7,8,21,16,5.45,3.92,27.47,26.9,66.4,?,-101,209.0,11.92,0.09,2.6361775398254395
-12.133947,-76.979896,8,0.09,147.60,7,8,21,17,5.06,4.25,26.78,26.9,66.4,?,-99,211.0,11.92,0.09,3.6532440185546875
-12.133947,-76.979896,8,0.17,147.60,7,8,21,17,5.28,4.45,26.58,26.9,66.4,?,-88,212.0,11.79,0.06,4.470849275588989
-12.133947,-76.979896,8,0.17,147.60,7,8,21,17,5.79,5.09,27.08,26.9,66.4,?,-80,211.0,11.88,0.09,4.766039848327637
-12.133949,-76.979896,8,0.06,147.60,7,8,21,17,5.66,3.98,26.03,26.8,66.4,?,-33,210.0,11.92,0.07,6.212186336517334
-12.133949,-76.979896,8,0.06,147.50,7,8,21,17,5.83,4.13,26.06,26.8,66.4,?,-8,209.0,11.92,0.09,6.717129468917847
-12.133950,-76.979896,8,0.59,147.50,7,8,21,17,5.31,3.94,25.84,26.8,66.4,?,29,209.0,11.96,0.06,7.490749835968018
-12.133950,-76.979896,8,0.59,147.50,7,8,21,17,5.44,3.84,25.63,26.8,66.4,?,34,209.0,11.99,0.06,7.739868402481079
-12.133949,-76.979896,8,0.54,147.50,7,8,21,17,5.75,4.12,25.39,26.8,66.4,?,48,210.0,11.89,0.07,8.580912113189697
-12.133948,-76.979896,7,0.54,147.20,7,8,21,17,3.86,4.49,25.55,26.8,66.3,?,54,207.0,11.98,0.09,9.653079509735107
-12.133946,-76.979896,7,0.07,147.20,7,8,21,17,5.78,4.38,26.79,26.8,66.3,?,55,209.0,11.89,0.09,10.614622116088867
-12.133943,-76.979896,7,0.00,147.20,7,8,21,17,5.52,4.11,25.92,26.8,66.3,?,55,208.0,12.02,0.07,11.574055671691895
