lat,lng,sat,vel,alt,day,mth,hor,min,alx,aly,hdn,tmp,hum,vwind,rwd,sailPos,bat,panel,time
-12.133914,-76.979888,9,0.02,143.00,7,8,22,7,5.76,4.38,27.18,25.2,70.4,?,137,206.0,11.64,0.07,0.576218843460083
-12.133914,-76.979888,9,0.02,143.00,7,8,22,7,5.88,4.15,27.90,25.2,70.4,?,139,161.0,11.66,0.06,1.8499069213867188
-12.133914,-76.979888,9,0.06,143.00,7,8,22,7,5.72,4.41,27.10,25.2,70.4,?,141,207.0,11.63,0.09,2.5931551456451416
-12.133915,-76.979888,9,0.24,143.00,7,8,22,7,5.63,3.98,29.28,25.2,70.5,?,143,204.0,11.63,0.06,3.5514276027679443
-12.133915,-76.979888,9,0.24,143.00,7,8,22,7,5.56,4.09,27.55,25.2,70.4,?,144,156.0,11.73,0.07,3.7856476306915283
-12.133915,-76.979888,9,0.24,143.00,7,8,22,7,5.43,3.69,27.37,25.2,70.5,?,152,163.0,11.67,0.09,4.84314489364624
-12.133915,-76.979896,9,0.04,143.00,7,8,22,7,5.34,4.48,28.11,25.2,70.5,?,155,207.0,11.57,0.09,5.588282585144043
-12.133915,-76.979896,9,0.07,143.00,7,8,22,7,5.94,4.20,28.84,25.3,70.5,?,155,205.0,11.67,0.04,6.546319484710693
-12.133915,-76.979896,9,0.07,143.00,7,8,22,7,5.77,3.92,28.13,25.2,70.5,?,155,160.0,11.72,0.06,6.780439615249634
-12.133915,-76.979896,9,0.07,143.00,7,8,22,7,5.92,4.09,28.03,25.2,70.4,?,156,160.0,11.63,0.07,7.8293750286102295
-12.133915,-76.979896,9,0.04,143.00,7,8,22,7,5.81,4.08,28.54,25.2,70.5,?,158,207.0,11.83,0.09,8.58255648612976
-12.133915,-76.979896,9,0.15,143.00,7,8,22,7,5.65,4.45,28.29,25.3,70.4,?,164,209.0,11.60,0.10,9.66421103477478
-12.133915,-76.979896,9,0.15,143.00,7,8,22,7,5.67,4.09,26.75,25.3,70.4,?,173,161.0,11.73,0.09,10.83495807647705
-12.133915,-76.979896,9,0.06,143.00,7,8,22,7,5.64,3.94,28.11,25.3,70.4,?,176,205.0,11.64,0.07,11.577365159988403
-12.133915,-76.979896,9,0.06,143.00,7,8,22,7,5.93,4.16,27.84,25.3,70.4,?,-179,161.0,11.63,0.09,12.845940113067627
-12.133916,-76.979904,9,0.02,143.00,7,8,22,7,5.62,4.07,28.21,25.3,70.4,?,-179,206.0,11.64,0.09,13.595702171325684
-12.133916,-76.979904,9,0.02,143.00,7,8,22,7,5.52,4.55,27.68,25.3,70.4,?,-179,204.0,11.72,0.07,14.55757188796997
-12.133916,-76.979904,9,0.02,143.00,7,8,22,7,5.60,4.29,28.74,25.3,70.4,?,-179,153.0,11.74,0.06,14.801358938217163
-12.133916,-76.979904,9,0.02,143.00,7,8,22,7,5.98,3.79,28.06,25.3,70.4,?,173,161.0,11.61,0.07,15.95334267616272
-12.133916,-76.979904,9,0.06,143.00,7,8,22,7,5.77,4.38,27.89,25.3,70.4,?,149,208.0,11.73,0.09,16.5984468460083
-12.133916,-76.979904,9,0.07,143.00,7,8,22,7,5.53,3.99,28.76,25.3,70.4,?,90,206.0,11.72,0.12,17.558643341064453
-12.133916,-76.979904,9,0.07,143.00,7,8,22,7,5.45,4.21,26.93,25.3,70.4,?,61,156.0,11.63,0.07,18.18244171142578
-12.133916,-76.979904,10,0.07,141.20,7,8,22,7,5.37,4.26,27.42,25.2,70.4,?,4,210.0,11.57,0.09,18.731040239334106
-12.133916,-76.979904,10,0.07,141.20,7,8,22,7,5.71,3.85,27.50,25.2,70.4,?,-40,162.0,11.60,0.10,19.859052419662476
-12.133916,-76.979904,10,0.02,141.20,7,8,22,7,5.58,4.19,28.58,25.2,70.4,?,-59,204.0,11.82,0.06,20.57936930656433
-12.133916,-76.979904,10,0.02,141.20,7,8,22,7,6.05,4.07,27.50,25.2,70.4,?,-48,163.0,11.67,0.09,21.89603018760681
-12.133915,-76.979911,10,0.02,141.20,7,8,22,7,5.83,3.86,26.54,25.2,70.4,?,-33,205.0,11.73,0.07,22.62029266357422
-12.133915,-76.979911,10,0.02,141.20,7,8,22,7,5.46,4.45,27.13,25.2,70.4,?,-21,206.0,11.61,0.07,23.562713146209717
-12.133915,-76.979911,10,0.02,141.20,7,8,22,7,5.70,4.50,27.10,25.2,70.4,?,-20,163.0,11.55,0.07,23.79921579360962
-12.133915,-76.979911,10,0.02,141.20,7,8,22,7,5.40,3.99,27.96,25.2,70.4,?,-30,160.0,11.64,0.07,24.84627628326416
