lat,lng,sat,vel,alt,day,mth,hor,min,alx,aly,hdn,tmp,hum,vwind,rwd,sailPos,bat,panel,time
-12.134011,-76.979896,10,0.41,150.90,7,8,21,43,5.75,4.13,18.15,25.3,70.1,?,51,207.0,11.83,0.06,0.8449087142944336
-12.134010,-76.979896,10,0.48,150.90,7,8,21,43,5.17,4.35,16.72,25.3,70.1,?,-10,206.0,11.83,0.09,1.651623010635376
-12.134010,-76.979896,10,0.48,150.90,7,8,21,43,5.84,3.96,15.81,25.3,70.2,?,80,212.0,11.73,0.09,1.9381322860717773
-12.134010,-76.979896,10,0.48,150.90,7,8,21,43,5.62,4.27,17.41,25.3,70.2,?,83,164.0,11.77,0.09,2.1496076583862305
-12.134010,-76.979896,10,0.30,150.90,7,8,21,43,5.57,4.50,16.86,25.3,70.2,?,91,208.0,11.73,0.09,2.7814786434173584
-12.134010,-76.979896,10,0.30,150.90,7,8,21,43,5.74,4.26,16.98,25.3,70.2,?,97,162.0,11.79,0.06,4.049444913864136
-12.134007,-76.979896,10,0.13,150.90,7,8,21,43,5.33,3.63,15.63,25.3,70.2,?,97,205.0,11.74,0.09,4.788664102554321
-12.134006,-76.979896,10,0.44,150.90,7,8,21,43,5.55,4.29,16.50,25.3,70.2,?,99,206.0,11.67,0.09,5.747116565704346
-12.134006,-76.979896,10,0.44,150.90,7,8,21,43,5.74,4.01,16.03,25.3,70.2,?,100,163.0,11.70,0.09,5.971585750579834
-12.134006,-76.979896,10,0.44,150.90,7,8,21,43,5.61,3.91,16.78,25.3,70.2,?,116,206.0,11.74,0.09,6.830008029937744
-12.134006,-76.979896,10,0.44,150.90,7,8,21,43,5.57,4.38,16.88,25.3,70.2,?,129,163.0,11.77,0.07,7.065868139266968
-12.134006,-76.979896,10,0.41,150.90,7,8,21,43,5.51,4.47,19.01,25.3,70.2,?,155,208.0,11.70,0.07,7.639916896820068
-12.134006,-76.979896,10,0.41,150.90,7,8,21,43,5.42,4.03,17.25,25.3,70.2,?,174,206.0,11.82,0.07,7.9300994873046875
-12.134003,-76.979896,10,0.22,150.90,7,8,21,43,5.29,3.97,16.80,25.3,70.3,?,-117,206.0,11.77,0.07,8.767415285110474
-12.134002,-76.979896,9,0.22,150.70,7,8,21,43,5.79,3.80,17.71,25.3,70.3,?,-52,206.0,11.73,0.09,9.838451862335205
-12.134002,-76.979896,9,0.17,150.70,7,8,21,43,5.79,5.07,17.94,25.3,70.3,?,-90,207.0,11.73,0.07,10.806298017501831
-12.134001,-76.979896,9,0.26,150.70,7,8,21,43,5.94,4.20,18.78,25.3,70.3,?,-138,207.0,11.74,0.07,11.768137216567993
-12.134002,-76.979896,9,0.26,150.90,7,8,21,43,5.66,3.89,16.84,25.3,70.3,?,-80,207.0,11.82,0.09,12.842577695846558
-12.134003,-76.979896,9,0.15,150.90,7,8,21,43,5.48,3.93,16.48,25.3,70.3,?,-76,206.0,11.80,0.09,13.647671461105347
-12.134003,-76.979896,9,0.15,150.90,7,8,21,43,5.64,4.13,16.74,25.3,70.3,?,-87,210.0,11.72,0.10,13.947302103042603
-12.134003,-76.979896,9,0.15,150.90,7,8,21,43,5.62,3.96,17.39,25.3,70.3,?,-103,163.0,11.82,0.07,14.148224592208862
-12.134004,-76.979896,9,0.06,150.90,7,8,21,43,5.54,4.23,16.14,25.3,70.3,?,-132,206.0,11.73,0.07,14.776090860366821
-12.134004,-76.979896,9,0.06,150.90,7,8,21,43,5.63,3.94,17.84,25.3,70.3,?,-110,165.0,11.69,0.07,16.04652976989746
-12.134006,-76.979896,9,0.13,150.90,7,8,21,44,5.61,4.04,15.85,25.4,70.3,?,-127,206.0,11.70,0.10,16.78075623512268
-12.134005,-76.979896,9,0.13,151.80,7,8,21,44,5.64,4.38,16.68,25.3,70.3,?,-120,207.0,11.83,0.07,17.837114572525024
-12.134004,-76.979896,9,0.20,151.80,7,8,21,44,5.75,3.79,16.48,25.3,70.2,?,-111,206.0,11.76,0.07,18.64183211326599
-12.134004,-76.979896,9,0.20,151.80,7,8,21,44,5.75,4.48,17.02,25.3,70.2,?,-111,207.0,11.86,0.06,18.9110689163208
-12.134004,-76.979896,9,0.09,151.80,7,8,21,44,5.98,4.15,18.11,25.3,70.2,?,-125,206.0,11.92,0.09,20.12575125694275
